     Index              y_true              y_pred        descriptor_1
        60   -0.5328421907E+00   -0.4852033138E+00    0.4535946184E+00
        61   -0.4805404640E+00   -0.8268159162E+00    0.1665625195E+01
        62   -0.1798339980E+01   -0.1904111536E+01    0.5487835564E+01
        63   -0.1252788921E+01   -0.1398850248E+01    0.3695184692E+01
        64   -0.1934297430E+01   -0.1991275635E+01    0.5797090998E+01
        65   -0.9498571108E+00   -0.1107899257E+01    0.2662899890E+01
        66   -0.5714197000E+00   -0.9290969405E+00    0.2028514995E+01
        67   -0.1512088095E+01   -0.1589375425E+01    0.4371161920E+01
        68   -0.3714311456E+00   -0.4796963022E+00    0.4340559175E+00
        69   -0.1336962151E+01   -0.1718260694E+01    0.4828442726E+01
        70   -0.2029400938E+01   -0.8743195782E+00    0.1834166667E+01
        71   -0.5542796838E+00   -0.8781610616E+00    0.1847796127E+01
        72   -0.1923865282E+01   -0.1960797529E+01    0.5688955652E+01
        73   -0.1301730974E+01   -0.9160180379E+00    0.1982111467E+01
        74   -0.2287965519E+01   -0.1168229596E+01    0.2876950000E+01
        75   -0.2942950310E+01   -0.2334245490E+01    0.7013937064E+01
        76   -0.2223009893E+01   -0.2263221109E+01    0.6761944832E+01
        77   -0.2181270299E+01   -0.1831701824E+01    0.5230928225E+01
        78   -0.2644704463E+01   -0.1783832321E+01    0.5061088762E+01
        79   -0.2939346915E+01   -0.3003334312E+01    0.9387842784E+01
        80   -0.3500190706E+00   -0.9117953383E+00    0.1967129464E+01
        81   -0.1105131672E+01   -0.1621965010E+01    0.4486788725E+01
        82   -0.1496749186E+01   -0.1207459120E+01    0.3016135095E+01
        83   -0.1976696742E+01   -0.1250278273E+01    0.3168056079E+01
        84   -0.2712749399E+01   -0.1802887105E+01    0.5128694525E+01
        85   -0.2451552082E+01   -0.2199369418E+01    0.6535401078E+01
        86   -0.2051341439E+01   -0.2090628226E+01    0.6149590811E+01
        87   -0.7453965667E+00   -0.6189165623E+00    0.9280049433E+00
        88   -0.3424484154E+00   -0.7607915380E+00    0.1431372815E+01
        89   -0.1530735533E+00   -0.6701016309E+00    0.1109607928E+01
        90   -0.1981265285E+01   -0.2088273655E+01    0.6141236867E+01
        91   -0.1629920508E+01   -0.2135477500E+01    0.6308714597E+01
        92   -0.7571562417E-01   -0.4272210301E+00    0.2478753319E+00
        93   -0.2415445687E+01   -0.2726686803E+01    0.8406306277E+01
        94   -0.6908701608E+00   -0.8084372492E+00    0.1600418273E+01
        95   -0.1339860188E+01   -0.2225253057E+01    0.6627235401E+01
        96   -0.1829953803E+01   -0.1124042328E+01    0.2720174990E+01
        97   -0.9647128633E+00   -0.1142428454E+01    0.2785408374E+01
        98   -0.1686096011E+01   -0.1954863697E+01    0.5667902608E+01
        99   -0.6375040875E+00   -0.7140132521E+00    0.1265404954E+01
       100   -0.2424148725E+01   -0.2804198167E+01    0.8681314117E+01
       101   -0.1912380332E+01   -0.1714151298E+01    0.4813862721E+01
       102   -0.1638663817E+01   -0.1405637122E+01    0.3719264304E+01
       103   -0.7914003175E+00   -0.7186954355E+00    0.1282017191E+01
       104   -0.1422707070E+01   -0.8361318703E+00    0.1698677902E+01
       105   -0.1022250971E+01   -0.1249131793E+01    0.3163988405E+01
       106   -0.1289153343E+01   -0.1001989634E+01    0.2287135938E+01
       107   -0.1405850287E+01   -0.1036566082E+01    0.2409812070E+01
       108   -0.7635153800E+00   -0.6419837450E+00    0.1009846569E+01
       109   -0.1606740827E+01   -0.2055638575E+01    0.6025448647E+01
       110   -0.2060107371E+01   -0.2258727575E+01    0.6746001920E+01
       111   -0.1709319476E+01   -0.1301220031E+01    0.3348795806E+01
       112   -0.3132115227E+01   -0.2712148348E+01    0.8354724307E+01
       113   -0.1919066566E+01   -0.2094507030E+01    0.6163352681E+01
       114   -0.2260625710E+01   -0.2313753385E+01    0.6941231731E+01
       115   -0.2279880928E+01   -0.1691688817E+01    0.4734166559E+01
       116   -0.2498209661E+01   -0.2428949533E+01    0.7349943975E+01
       117   -0.1437998423E+01   -0.9585368756E+00    0.2132966942E+01
       118   -0.1708030869E+01   -0.1875074543E+01    0.5384813244E+01
       119   -0.1303287361E+01   -0.9204178022E+00    0.1997721690E+01
       120   -0.2758317628E+00   -0.5108357678E+00    0.5445377443E+00
       121   -0.2000486973E+01   -0.1230573106E+01    0.3098142780E+01
       122   -0.1307564752E+01   -0.1574533002E+01    0.4318501478E+01
       123   -0.2790673187E+01   -0.1978927093E+01    0.5753278768E+01
       124   -0.1507815209E+01   -0.1704271896E+01    0.4778810919E+01
       125   -0.1683985554E+01   -0.1437232214E+01    0.3831362677E+01
       126   -0.1721117145E+01   -0.1607301631E+01    0.4434763526E+01
       127   -0.2938787281E+01   -0.2349917313E+01    0.7069540190E+01
       128   -0.1782832346E+01   -0.1812093475E+01    0.5161358430E+01
       129   -0.2162750907E+01   -0.2117608017E+01    0.6245314245E+01
       130   -0.1071967793E+01   -0.9120175488E+00    0.1967917860E+01
       131   -0.1766647536E+01   -0.1539722843E+01    0.4194996148E+01
       132   -0.1010207743E+01   -0.1577231997E+01    0.4328077424E+01
       133   -0.2713596238E+00   -0.6517739421E+00    0.1044581875E+01
       134   -0.1895442729E+00   -0.6993697797E+00    0.1213450383E+01
       135   -0.9227171708E+00   -0.6668729888E+00    0.1098152809E+01
       136   -0.3506852005E+01   -0.3804262000E+01    0.1222950858E+02
       137   -0.1328193650E+01   -0.7949736455E+00    0.1552649838E+01
       138   -0.2920745297E+01   -0.3439100270E+01    0.1093392645E+02
       139   -0.4730400225E+00   -0.6412197457E+00    0.1007135924E+01
       140   -0.7835098101E+00   -0.8494662226E+00    0.1745987757E+01
       141   -0.1864207356E+01   -0.1695214636E+01    0.4746676052E+01
       142   -0.4738140969E+00   -0.4341852894E+00    0.2725843009E+00
       143   -0.1026167830E+01   -0.1200797533E+01    0.2992500000E+01
       144   -0.7779597944E+00   -0.7157623090E+00    0.1271610552E+01
       145   -0.1381465457E+01   -0.9457525012E+00    0.2087608391E+01
       146   -0.2440360075E+01   -0.2414134889E+01    0.7297382093E+01
       147   -0.2285058956E+01   -0.1480484189E+01    0.3984819301E+01
       148   -0.5462309708E+00   -0.7787846981E+00    0.1495211971E+01
       149   -0.1579581983E+01   -0.1285702924E+01    0.3293741609E+01
       150   -0.1745528705E+01   -0.6868883492E+00    0.1169166667E+01
       151   -0.3066474317E+01   -0.3260929696E+01    0.1030178296E+02
       152   -0.2723679008E+01   -0.2209928217E+01    0.6572863358E+01
       153   -0.1075849585E+01   -0.7295206310E+00    0.1320424638E+01
       154   -0.8565150057E+00   -0.8567946647E+00    0.1771988835E+01
       155   -0.1830632733E+01   -0.1584805026E+01    0.4354946289E+01
       156   -0.1214989892E+01   -0.1109911585E+01    0.2670039565E+01
       157   -0.1849209676E+01   -0.2219232983E+01    0.6605876372E+01
       158   -0.1400040860E+01   -0.1765028198E+01    0.4994372335E+01
       159   -0.3924523249E+01   -0.2433358496E+01    0.7365586835E+01
       160   -0.1425752612E+00   -0.4137988080E+00    0.2002537178E+00
       161   -0.1189612306E+01   -0.1381654022E+01    0.3634173030E+01
       162   -0.7159079759E+00   -0.9060115944E+00    0.1946608926E+01
       163   -0.1562431717E+01   -0.1378475358E+01    0.3622895232E+01
       164   -0.5414801406E+00   -0.1009165078E+01    0.2312594182E+01
       165   -0.2311824179E+01   -0.1897097693E+01    0.5462950675E+01
       166   -0.3126702136E+01   -0.2668288861E+01    0.8199112250E+01
       167   -0.2536150375E+01   -0.1340574108E+01    0.3488422811E+01
       168   -0.1695988839E+01   -0.2135907007E+01    0.6310238476E+01
       169   -0.1410379584E+01   -0.1940907263E+01    0.5618385626E+01
       170   -0.2285353160E+01   -0.2186039586E+01    0.6488107260E+01
       171   -0.4450618351E+00   -0.6326401942E+00    0.9766959498E+00
       172   -0.5088257200E+00   -0.7653482465E+00    0.1447539871E+01
       173   -0.2906159105E+01   -0.2240466617E+01    0.6681212623E+01
       174   -0.2045712671E+01   -0.2087830893E+01    0.6139665961E+01
       175   -0.1459404923E+01   -0.2100448108E+01    0.6184431436E+01
       176   -0.2048346117E+01   -0.8938518852E+00    0.1903466667E+01
       177   -0.2017221308E+01   -0.1270989141E+01    0.3241537576E+01
       178   -0.1025326373E+01   -0.1310445379E+01    0.3381527047E+01
       179   -0.8475121357E+00   -0.6735646221E+00    0.1121894510E+01
       180   -0.2748003108E+00   -0.4744091424E+00    0.4152972438E+00
       181   -0.8383352600E+00   -0.1161539033E+01    0.2853212096E+01
       182   -0.1531845690E+01   -0.1459648201E+01    0.3910893883E+01
       183   -0.1425841515E+01   -0.1442381374E+01    0.3849631734E+01
       184   -0.2764224041E+01   -0.2525056634E+01    0.7690928895E+01
       185   -0.1944027046E+01   -0.1841607452E+01    0.5266073076E+01
       186   -0.2952009342E+00   -0.7175935206E+00    0.1278107632E+01
       187   -0.5437214878E+00   -0.4737605316E+00    0.4129959933E+00
       188   -0.2590400682E+01   -0.2628485348E+01    0.8057890659E+01
       189   -0.6125567492E+00   -0.6846811010E+00    0.1161335421E+01
       190   -0.1390823458E+01   -0.8292122476E+00    0.1674127302E+01
       191   -0.2726255019E+01   -0.2757416029E+01    0.8515332589E+01
       192   -0.7550017003E+00   -0.1121326435E+01    0.2710539088E+01
       193   -0.1250080667E+01   -0.8777136440E+00    0.1846208704E+01
       194   -0.3590499621E+00   -0.6540272846E+00    0.1052576662E+01
       195   -0.1723969182E+01   -0.1631643795E+01    0.4521128742E+01
       196   -0.1418766023E+01   -0.1637646284E+01    0.4542425381E+01
       197   -0.2104346055E+01   -0.2125229405E+01    0.6272354685E+01
       198   -0.1333798308E+01   -0.1625786831E+01    0.4500348424E+01
       199   -0.9868221989E+00   -0.8971159877E+00    0.1915047598E+01
       200   -0.2421253766E+01   -0.2551510051E+01    0.7784784772E+01
       201   -0.1828998709E+01   -0.1509451466E+01    0.4087594272E+01
       202   -0.1346540858E+01   -0.1047184618E+01    0.2447486295E+01
       203   -0.1582657694E+01   -0.1812459131E+01    0.5162655768E+01
       204   -0.2078798473E+01   -0.1515012270E+01    0.4107323825E+01
       205   -0.2944489168E+01   -0.3051215679E+01    0.9557724342E+01
       206   -0.2784749232E+01   -0.2711411911E+01    0.8352111451E+01
       207   -0.2277854717E+01   -0.1795325692E+01    0.5101866874E+01
       208   -0.1251946095E+01   -0.1146544420E+01    0.2800011690E+01
       209   -0.8222760733E+00   -0.8689392173E+00    0.1815077319E+01
       210   -0.1645196242E+01   -0.1201772515E+01    0.2995959205E+01
       211   -0.1701231038E+01   -0.1830080172E+01    0.5225174656E+01
       212   -0.2679015295E+01   -0.2752334801E+01    0.8497304554E+01
       213   -0.7736081979E+00   -0.9075620957E+00    0.1952110055E+01
       214   -0.1790963745E+01   -0.1165111370E+01    0.2865886636E+01
       215   -0.2332932240E+01   -0.1671196233E+01    0.4661459526E+01
       216   -0.7195709904E+00   -0.9953473385E+00    0.2263569286E+01
       217   -0.2059707991E+01   -0.1773897796E+01    0.5025841384E+01
       218   -0.1099575593E+01   -0.1521200783E+01    0.4129280473E+01
       219   -0.1695113381E+01   -0.1512914102E+01    0.4099879594E+01
       220   -0.7365203473E+00   -0.1000522123E+01    0.2281929254E+01
       221   -0.5707689683E+00   -0.5249683268E+00    0.5946796112E+00
       222   -0.2104251012E+01   -0.1780026564E+01    0.5047586058E+01
       223   -0.2145829928E+01   -0.2004363665E+01    0.5843526910E+01
       224   -0.2518671236E+01   -0.1973489060E+01    0.5733984799E+01
       225   -0.1812344367E+01   -0.2012202139E+01    0.5871337563E+01
       226   -0.1063197951E+01   -0.1072291514E+01    0.2536564756E+01
       227   -0.1851606283E+01   -0.1992201181E+01    0.5800374806E+01
       228   -0.1567523828E+01   -0.2016119566E+01    0.5885236470E+01
       229   -0.3213511152E+01   -0.2433282336E+01    0.7365316621E+01
       230   -0.1300964302E+01   -0.1421694238E+01    0.3776234437E+01
       231   -0.2068219181E+00   -0.5131327383E+00    0.5526873222E+00
       232   -0.1941190853E+01   -0.1706675743E+01    0.4787339694E+01
       233   -0.1722141203E+01   -0.1518362512E+01    0.4119210379E+01
       234   -0.2446757154E+01   -0.2523532311E+01    0.7685520643E+01
       235   -0.3313086972E+00   -0.5661386463E+00    0.7407505870E+00
       236   -0.1553524072E+01   -0.1162829770E+01    0.2857791591E+01
       237   -0.1538910549E+01   -0.1393888647E+01    0.3677581091E+01
       238   -0.2469591421E+01   -0.2138271413E+01    0.6318627314E+01
       239   -0.2106100966E+01   -0.2176305568E+01    0.6453571277E+01
       240   -0.2039780454E+01   -0.1299578196E+01    0.3342970627E+01
       241   -0.1234368779E+01   -0.1603094511E+01    0.4419836796E+01
       242   -0.1829826662E+01   -0.2232820241E+01    0.6654083528E+01
       243   -0.1557526515E+01   -0.1161906800E+01    0.2854516923E+01
       244   -0.1737148906E+01   -0.2232682079E+01    0.6653593334E+01
       245   -0.1301001940E+00   -0.3882145940E+00    0.1094817454E+00
       246   -0.2295217600E+01   -0.1949547849E+01    0.5649042149E+01
       247   -0.3151400195E+00   -0.8455805170E+00    0.1732201398E+01
       248   -0.2586471818E+01   -0.2400290294E+01    0.7248261913E+01
       249   -0.6460877242E+00   -0.1015635672E+01    0.2335551643E+01
       250   -0.9835347833E+00   -0.1219694804E+01    0.3059546910E+01
       251   -0.1804721854E+01   -0.1509369491E+01    0.4087303427E+01
       252   -0.2896126848E+00   -0.7358219297E+00    0.1342781444E+01
       253   -0.1620588382E+01   -0.1667186886E+01    0.4647234491E+01
       254   -0.1509540286E+01   -0.1461023582E+01    0.3915773688E+01
       255   -0.1354267347E+01   -0.1706317922E+01    0.4786070156E+01
       256   -0.1414735318E+01   -0.1747224053E+01    0.4931203797E+01
       257   -0.1277412623E+01   -0.1110945603E+01    0.2673708228E+01
       258   -0.3260979300E+00   -0.9421913620E+00    0.2074973583E+01
       259   -0.1241084534E+01   -0.9031499294E+00    0.1936455830E+01
       260   -0.9700583945E+00   -0.1100667984E+01    0.2637243566E+01
       261   -0.2181653667E+01   -0.2184243313E+01    0.6481734143E+01
       262   -0.1371818292E+01   -0.1729230828E+01    0.4867364413E+01
       263   -0.9835365793E+00   -0.1219694781E+01    0.3059546828E+01
       264   -0.2277759989E+01   -0.2364349929E+01    0.7120746648E+01
       265   -0.3164947774E+01   -0.3409400743E+01    0.1082855348E+02
       266   -0.1326737384E+01   -0.1695869403E+01    0.4748999144E+01
       267   -0.2476822956E+01   -0.2403264509E+01    0.7258814333E+01
       268   -0.1876970483E+01   -0.1367031157E+01    0.3582291575E+01
       269   -0.1250154627E+01   -0.1519602362E+01    0.4123609324E+01
       270   -0.1521062252E+01   -0.1937463726E+01    0.5606168067E+01
       271   -0.3365395096E+00   -0.7183048987E+00    0.1280631579E+01
       272   -0.3252693552E+01   -0.2813786453E+01    0.8715333047E+01
       273   -0.7223370463E+00   -0.1085063363E+01    0.2581878869E+01
       274   -0.9777179796E+00   -0.1475398848E+01    0.3966776672E+01
       275   -0.9427935286E+00   -0.1648699229E+01    0.4581640876E+01
       276   -0.1597940715E+01   -0.1634229144E+01    0.4530301477E+01
       277   -0.3929395994E+00   -0.8363169906E+00    0.1699334703E+01
       278   -0.1647012268E+01   -0.1109098382E+01    0.2667154347E+01
       279   -0.1241393652E+01   -0.1482675978E+01    0.3992595696E+01
       280   -0.2789619809E+01   -0.2772435836E+01    0.8568622382E+01
       281   -0.2308923813E+01   -0.1701370083E+01    0.4768515380E+01
       282   -0.2412534499E+01   -0.1925851370E+01    0.5564967801E+01
       283   -0.9517232583E+00   -0.8702932589E+00    0.1819881415E+01
       284   -0.8133433143E+00   -0.1124883968E+01    0.2723161099E+01
       285   -0.8778351173E+00   -0.7376396414E+00    0.1349230627E+01
       286   -0.1589152364E+01   -0.1678592137E+01    0.4687699956E+01
       287   -0.1874778548E+01   -0.1488368149E+01    0.4012791337E+01
       288   -0.1626995079E+01   -0.1556909364E+01    0.4255973374E+01
       289   -0.1737145456E+01   -0.1483687660E+01    0.3996185114E+01
       290   -0.1340692657E+01   -0.2215040467E+01    0.6591001458E+01
       291   -0.6120777020E+00   -0.7468866611E+00    0.1382038757E+01
       292   -0.1252360508E+00   -0.9242831945E+00    0.2011435978E+01
       293   -0.2103127270E+01   -0.2345579818E+01    0.7054150896E+01
       294   -0.3074609980E+01   -0.3121880481E+01    0.9808440797E+01
       295   -0.1920055698E+01   -0.1599799488E+01    0.4408146161E+01
       296   -0.9146294994E+00   -0.1342769365E+01    0.3496211512E+01
       297   -0.1637345636E+01   -0.1665877331E+01    0.4642588231E+01
       298   -0.2330362310E+01   -0.2050562959E+01    0.6007440527E+01
       299   -0.2163256525E+01   -0.1992028831E+01    0.5799763314E+01
       300   -0.2451552053E+01   -0.2199369079E+01    0.6535399874E+01
       301   -0.1845653439E+01   -0.1630799893E+01    0.4518134606E+01
       302   -0.1682499460E+01   -0.2166994555E+01    0.6420536102E+01
       303   -0.1989780287E+01   -0.1877727638E+01    0.5394226338E+01
       304   -0.1906396300E+01   -0.2130112925E+01    0.6289681257E+01
       305   -0.1949858484E+01   -0.1499205463E+01    0.4051241780E+01
       306   -0.1376181788E+01   -0.1804593617E+01    0.5134749176E+01
       307   -0.3121631237E+00   -0.5100594905E+00    0.5417835373E+00
       308   -0.1052590515E+01   -0.8121283299E+00    0.1613514109E+01
       309   -0.1269542442E+01   -0.1823007974E+01    0.5200082723E+01
       310   -0.1456553683E+01   -0.2341371749E+01    0.7039220803E+01
       311   -0.2462005013E+01   -0.2646724618E+01    0.8122603007E+01
       312   -0.3212428979E+01   -0.2434951694E+01    0.7371239452E+01
       313   -0.6914718502E+00   -0.7759870878E+00    0.1485286139E+01
       314   -0.1978607830E+01   -0.1653428014E+01    0.4598418456E+01
       315   -0.9839437469E+00   -0.1517913046E+01    0.4117615687E+01
       316   -0.2232649546E+00   -0.5725152959E+00    0.7633747356E+00
       317   -0.2643629705E+00   -0.5442794605E+00    0.6631948954E+00
       318   -0.2401981512E+01   -0.2354926051E+01    0.7087311031E+01
       319   -0.1856846194E+01   -0.1572479815E+01    0.4311216837E+01
       320   -0.3361211644E+00   -0.6436577139E+00    0.1015785757E+01
       321   -0.1323165641E+01   -0.1028222850E+01    0.2380210550E+01
       322   -0.1888829102E+01   -0.1855148800E+01    0.5314117347E+01
       323   -0.2088599369E+00   -0.6048110446E+00    0.8779590179E+00
       324   -0.1043112213E+01   -0.1411866360E+01    0.3741365439E+01
       325   -0.4979663108E+00   -0.6542070230E+00    0.1053214368E+01
       326   -0.2095020290E+01   -0.2189021293E+01    0.6498686261E+01
       327   -0.2395279898E+01   -0.2402215336E+01    0.7255091901E+01
       328   -0.6069311903E+00   -0.6661257650E+00    0.1095501683E+01
       329   -0.1271909358E+01   -0.9043326300E+00    0.1940652014E+01
       330   -0.1858388170E+01   -0.1666995599E+01    0.4646555811E+01
       331   -0.7834462242E+00   -0.6528957646E+00    0.1048562065E+01
       332   -0.2042470527E+01   -0.2257369330E+01    0.6741182910E+01
       333   -0.5678258861E+00   -0.1175281971E+01    0.2901971600E+01
       334   -0.2287843696E+01   -0.2177103130E+01    0.6456401000E+01
       335   -0.6375319912E+00   -0.7143970529E+00    0.1266766667E+01
       336   -0.2486855170E+01   -0.1913388518E+01    0.5520750000E+01
       337   -0.1335299254E+01   -0.1477014384E+01    0.3972508544E+01
       338   -0.2521038149E+01   -0.1692272714E+01    0.4736238205E+01
       339   -0.2026947901E+01   -0.1926370595E+01    0.5566809994E+01
       340   -0.2847660545E+01   -0.2420422143E+01    0.7319689071E+01
       341   -0.1080586082E+01   -0.7405732085E+00    0.1359638829E+01
       342   -0.1188846926E+01   -0.1118583954E+01    0.2700808851E+01
       343   -0.1247712509E+01   -0.1137341960E+01    0.2767361658E+01
       344   -0.2891368492E+00   -0.5106344156E+00    0.5438233534E+00
       345   -0.2416015848E+01   -0.2216900749E+01    0.6597601678E+01
       346   -0.9417625308E+00   -0.6878528926E+00    0.1172588836E+01
       347   -0.3182321431E+01   -0.3400534163E+01    0.1079709514E+02
       348   -0.8785678611E-02   -0.4240757976E+00    0.2367161477E+00
       349   -0.2460490299E+01   -0.2411180991E+01    0.7286901759E+01
       350   -0.2904468251E+01   -0.3060954376E+01    0.9592276925E+01
       351   -0.1275580872E+01   -0.9855283009E+00    0.2228731655E+01
       352   -0.2434685889E+01   -0.2462751986E+01    0.7469873997E+01
       353   -0.1671861319E+01   -0.1818443682E+01    0.5183888763E+01
       354   -0.2120143866E+01   -0.2119618693E+01    0.6252448060E+01
       355   -0.1419842660E+01   -0.1437554567E+01    0.3832506376E+01
       356   -0.1371440764E+01   -0.1770450209E+01    0.5013609456E+01
       357   -0.2223013013E+01   -0.2263265179E+01    0.6762101193E+01
       358   -0.1410050924E+01   -0.1788948908E+01    0.5079242247E+01
       359   -0.1765667242E+01   -0.2151432535E+01    0.6365322552E+01
       360   -0.2748003071E+00   -0.4744091424E+00    0.4152972438E+00
       361   -0.1890665375E+01   -0.1534920994E+01    0.4177959343E+01
       362   -0.1792000707E+01   -0.1692590156E+01    0.4737364479E+01
       363   -0.1428108791E+01   -0.1410965921E+01    0.3738170711E+01
       364   -0.1944610958E+01   -0.1837517931E+01    0.5251563586E+01
       365   -0.1237431101E+01   -0.1118170433E+01    0.2699341694E+01
       366   -0.3183204078E+00   -0.5477946918E+00    0.6756668235E+00
       367   -0.1390633441E+01   -0.1400058693E+01    0.3699472215E+01
       368   -0.4520931871E+00   -0.8019225585E+00    0.1577304359E+01
       369   -0.2138535987E+01   -0.1705377653E+01    0.4782734109E+01
       370   -0.2253606854E+01   -0.2007085251E+01    0.5853183011E+01
       371   -0.1225315847E+00   -0.3950001258E+00    0.1335565952E+00
       372   -0.3471403984E+01   -0.2610276445E+01    0.7993286056E+01
       373   -0.1461818458E+01   -0.2268976931E+01    0.6782366304E+01
       374   -0.8723128998E+00   -0.1314895209E+01    0.3397314899E+01
       375   -0.1765440004E+01   -0.1459109468E+01    0.3908982473E+01
       376   -0.2319041901E+01   -0.1706812808E+01    0.4787825996E+01
       377   -0.6947935967E+00   -0.1565397620E+01    0.4286089435E+01
       378   -0.3295617664E+01   -0.3426083312E+01    0.1088774270E+02
       379   -0.1465735635E+01   -0.1040858193E+01    0.2425040342E+01
       380   -0.1111302139E+01   -0.1062250367E+01    0.2500939089E+01
       381   -0.2330694320E+01   -0.2042291969E+01    0.5978095317E+01
       382   -0.6968867791E+00   -0.1263667023E+01    0.3215558936E+01
       383   -0.1965829260E+01   -0.1889247283E+01    0.5435097673E+01
       384   -0.1328418798E+01   -0.1264447302E+01    0.3218327340E+01
       385   -0.5810877532E+00   -0.1270695578E+01    0.3240496025E+01
       386   -0.3882620556E+00   -0.5173866227E+00    0.5677799679E+00
       387   -0.8425425429E+00   -0.9138350903E+00    0.1974366439E+01
       388   -0.5215937126E+00   -0.6199721249E+00    0.9317500455E+00
       389   -0.1855574378E+01   -0.1714187635E+01    0.4813991643E+01
       390   -0.1719280190E+01   -0.1448071607E+01    0.3869820497E+01
       391   -0.3276279993E+01   -0.3418235281E+01    0.1085989814E+02
       392   -0.6346752714E+00   -0.5703091412E+00    0.7555473694E+00
       393   -0.3658879319E+00   -0.7894042503E+00    0.1532889802E+01
       394   -0.1350408549E+01   -0.1897532680E+01    0.5464493994E+01
       395   -0.1298434982E+01   -0.1744478364E+01    0.4921462182E+01
       396   -0.1035309912E+01   -0.1484017307E+01    0.3997354688E+01
       397   -0.1870695741E+01   -0.2096004851E+01    0.6168666904E+01
       398   -0.7245075958E-01   -0.4272946304E+00    0.2481364635E+00
